segment_id,track_id,geolocation_type,geolocation_id,sensor_id,snr_type,date_index,target_type
2031308,255007,D,6,8,SynthSNR,2,human
2061729,279536,D,7,13,SynthSNR,3,human
39921,260948,D,6,10,HighSNR,2,human
2050469,267615,D,7,12,SynthSNR,3,human
2019816,249620,C,5,5,SynthSNR,4,human
2713,604,A,3,3,LowSNR,8,animal
2057944,276421,D,7,13,SynthSNR,3,human
2026799,252444,C,5,6,SynthSNR,4,human
19491,249435,C,5,5,HighSNR,4,human
64026,281166,D,7,13,HighSNR,3,human
38118,260361,D,6,9,HighSNR,2,human
2052887,270422,D,7,12,SynthSNR,3,human
21901,250841,C,5,6,HighSNR,4,human
19096,249276,C,5,5,HighSNR,4,human
41248,261200,D,6,10,HighSNR,2,human
2022757,251035,C,5,6,SynthSNR,4,human
54873,272632,D,7,12,HighSNR,3,human
29032,253727,C,5,7,HighSNR,4,human
36869,258879,D,6,9,HighSNR,2,human
47920,264553,D,7,11,HighSNR,3,human
2045275,262971,D,7,11,SynthSNR,3,human
59,37,C,1,1,HighSNR,27,animal
59922,278048,D,7,13,HighSNR,3,human
2053783,271306,D,7,12,SynthSNR,3,human
6294,217,D,4,4,HighSNR,33,human
2045392,263101,D,7,11,SynthSNR,3,human
587,447,A,2,2,HighSNR,21,animal
46245,263731,D,7,11,HighSNR,3,human
6375,273,D,4,4,HighSNR,31,human
2018431,248958,C,5,5,SynthSNR,4,human
2041346,261223,D,6,10,SynthSNR,2,human
2040977,261141,D,6,10,SynthSNR,2,human
2044369,262227,D,6,10,SynthSNR,2,human
20185,249897,C,5,5,HighSNR,4,human
35055,256315,D,6,8,HighSNR,2,human
2053021,270448,D,7,12,SynthSNR,3,human
2061858,279620,D,7,13,SynthSNR,3,human
2026670,252325,C,5,6,SynthSNR,4,human
2006135,166,C,1,1,SynthSNR,25,human
22752,251035,C,5,6,HighSNR,4,human
2034373,255833,D,6,8,SynthSNR,2,human
48640,265111,D,7,11,HighSNR,3,human
2043275,261705,D,6,10,SynthSNR,2,human
56562,274375,D,7,12,HighSNR,3,human
2029930,254494,C,5,7,SynthSNR,4,human
2030501,254775,D,6,8,SynthSNR,2,human
17702,248608,C,5,5,HighSNR,4,human
2044409,262249,D,7,11,SynthSNR,3,human
2046906,264033,D,7,11,SynthSNR,3,human
2052358,269990,D,7,12,SynthSNR,3,human
18965,249223,C,5,5,HighSNR,4,human
2048866,265317,D,7,11,SynthSNR,3,human
54222,271702,D,7,12,HighSNR,3,human
2050961,268480,D,7,12,SynthSNR,3,human
32723,255439,D,6,8,HighSNR,2,human
6289,217,D,4,4,HighSNR,33,human
2051754,269115,D,7,12,SynthSNR,3,human
2040364,261060,D,6,10,SynthSNR,2,human
45119,262707,D,7,11,HighSNR,3,human
2020453,250005,C,5,5,SynthSNR,4,human
30795,254841,D,6,8,HighSNR,2,human
57624,276063,D,7,12,HighSNR,3,human
44776,262409,D,7,11,HighSNR,3,human
2061037,278788,D,7,13,SynthSNR,3,human
2022981,251174,C,5,6,SynthSNR,4,human
2021250,250668,C,5,5,SynthSNR,4,human
2021183,250662,C,5,5,SynthSNR,4,human
38770,260658,D,6,10,HighSNR,2,human
2054200,271690,D,7,12,SynthSNR,3,human
2058645,277073,D,7,13,SynthSNR,3,human
2043805,262063,D,6,10,SynthSNR,2,human
2033739,255659,D,6,8,SynthSNR,2,human
43399,261786,D,6,10,HighSNR,2,human
2050384,267515,D,7,12,SynthSNR,3,human
50144,267312,D,7,12,HighSNR,3,human
27389,252705,C,5,7,HighSNR,4,human
1391,1092,A,3,3,HighSNR,16,animal
2064670,281897,D,7,13,SynthSNR,3,human
18802,249112,C,5,5,HighSNR,4,human
43431,261844,D,6,10,HighSNR,2,human
2028206,253159,C,5,7,SynthSNR,4,human
46571,263880,D,7,11,HighSNR,3,human
32041,255272,D,6,8,HighSNR,2,human
2021202,250667,C,5,5,SynthSNR,4,human
2028338,253232,C,5,7,SynthSNR,4,human
2049825,266247,D,7,11,SynthSNR,3,human
59106,277496,D,7,13,HighSNR,3,human
57660,276148,D,7,12,HighSNR,3,human
37131,258954,D,6,9,HighSNR,2,human
30353,254747,D,6,8,HighSNR,2,human
37225,259018,D,6,9,HighSNR,2,human
21762,250794,C,5,6,HighSNR,4,human
